Region,SubRegion,StudyArea,SurveyYear,BatchCode,SurveyIndex,SurveyDate,Latitude,Longitude,Management,StructureType,Family,ScientificName,CommonName,Trophic,FishLength,FishCount
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3558,9/27/2006,27.91161,-93.59792,FGBNMS,HARD                                              ,Gobiidae,Gnatholepis thompsoni,Goldspot Goby,H,3,1
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3558,9/27/2006,27.91161,-93.59792,FGBNMS,HARD                                              ,Labridae,Bodianus rufus,Spanish Hogfish,I,3,7
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3558,9/27/2006,27.91161,-93.59792,FGBNMS,HARD                                              ,Labridae,Bodianus rufus,Spanish Hogfish,I,7.5,2
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3558,9/27/2006,27.91161,-93.59792,FGBNMS,HARD                                              ,Labridae,Halichoeres garnoti,Yellowhead Wrasse,I,3,2
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3558,9/27/2006,27.91161,-93.59792,FGBNMS,HARD                                              ,Labridae,Halichoeres garnoti,Yellowhead Wrasse,I,7.5,9
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3558,9/27/2006,27.91161,-93.59792,FGBNMS,HARD                                              ,Labridae,Scarus iseri,Striped Parrotfish,H,7.5,1
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3558,9/27/2006,27.91161,-93.59792,FGBNMS,HARD                                              ,Labridae,Sparisoma aurofrenatum,Redband Parrotfish,H,3,2
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3558,9/27/2006,27.91161,-93.59792,FGBNMS,HARD                                              ,Labridae,Sparisoma viride,Stoplight Parrotfish,H,3,1
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3558,9/27/2006,27.91161,-93.59792,FGBNMS,HARD                                              ,Labridae,Sparisoma viride,Stoplight Parrotfish,H,32.5,1
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3558,9/27/2006,27.91161,-93.59792,FGBNMS,HARD                                              ,Labridae,Thalassoma bifasciatum,Bluehead,I,3,45
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3558,9/27/2006,27.91161,-93.59792,FGBNMS,HARD                                              ,Labridae,Thalassoma bifasciatum,Bluehead,I,7.5,35
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3558,9/27/2006,27.91161,-93.59792,FGBNMS,HARD                                              ,Opistognathidae,Opistognathus aurifrons,Yellowhead Jawfish,PL,7.5,21
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3558,9/27/2006,27.91161,-93.59792,FGBNMS,HARD                                              ,Pomacentridae,Chromis cyanea,Blue Chromis,PL,3,1
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3558,9/27/2006,27.91161,-93.59792,FGBNMS,HARD                                              ,Pomacentridae,Chromis cyanea,Blue Chromis,PL,7.5,3
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3558,9/27/2006,27.91161,-93.59792,FGBNMS,HARD                                              ,Pomacentridae,Chromis insolata,Sunshinefish,PL ,3,16
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3558,9/27/2006,27.91161,-93.59792,FGBNMS,HARD                                              ,Pomacentridae,Chromis multilineata,Brown Chromis,I,7.5,7
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3558,9/27/2006,27.91161,-93.59792,FGBNMS,HARD                                              ,Pomacentridae,Chromis scotti,Purple Reeffish,PL ,3,15
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3558,9/27/2006,27.91161,-93.59792,FGBNMS,HARD                                              ,Pomacentridae,Stegastes partitus,Bicolor Damselfish,H,3,1
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3558,9/27/2006,27.91161,-93.59792,FGBNMS,HARD                                              ,Pomacentridae,Stegastes partitus,Bicolor Damselfish,H,7.5,2
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3558,9/27/2006,27.91161,-93.59792,FGBNMS,HARD                                              ,Pomacentridae,Stegastes planifrons,Threespot Damselfish,I,3,11
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3558,9/27/2006,27.91161,-93.59792,FGBNMS,HARD                                              ,Pomacentridae,Stegastes planifrons,Threespot Damselfish,I,7.5,4
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3558,9/27/2006,27.91161,-93.59792,FGBNMS,HARD                                              ,Pomacentridae,Stegastes variabilis,Cocoa Damselfish,H,3,3
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3558,9/27/2006,27.91161,-93.59792,FGBNMS,HARD                                              ,Serranidae,Mycteroperca interstitialis,Yellowmouth Grouper,P,12.5,1
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3558,9/27/2006,27.91161,-93.59792,FGBNMS,HARD                                              ,Serranidae,Paranthias furcifer,Atlantic Creolefish,PL,7.5,20
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3558,9/27/2006,27.91161,-93.59792,FGBNMS,HARD                                              ,Serranidae,Paranthias furcifer,Atlantic Creolefish,PL,12.5,5
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3558,9/27/2006,27.91161,-93.59792,FGBNMS,HARD                                              ,Serranidae,Serranus tigrinus,Harlequin Bass,I,3,1
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3558,9/27/2006,27.91161,-93.59792,FGBNMS,HARD                                              ,Sparidae,Calamus calamus,Saucereye Porgy,I,40,1
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3558,9/27/2006,27.91161,-93.59792,FGBNMS,HARD                                              ,Tetraodontidae,Canthigaster rostrata,Sharpnose Puffer,I,3,4
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3558,9/27/2006,27.91161,-93.59792,FGBNMS,HARD                                              ,Tetraodontidae,Canthigaster rostrata,Sharpnose Puffer,I,7.5,1
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3559,9/28/2006,27.90396,-93.59765,FGBNMS,HARD                                              ,Acanthuridae,Acanthurus bahianus,ocean Surgeonfish,H,7.5,3
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3559,9/28/2006,27.90396,-93.59765,FGBNMS,HARD                                              ,Acanthuridae,Acanthurus chirurgus,Doctorfish,H,27.5,1
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3559,9/28/2006,27.90396,-93.59765,FGBNMS,HARD                                              ,Carangidae,Carangoides ruber,Bar Jack,P,17.5,1
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3559,9/28/2006,27.90396,-93.59765,FGBNMS,HARD                                              ,Chaetodontidae,Chaetodon sedentarius,Reef Butterflyfish,I,12.5,4
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3559,9/28/2006,27.90396,-93.59765,FGBNMS,HARD                                              ,Gobiidae,Gnatholepis thompsoni,Goldspot Goby,H,3,6
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3559,9/28/2006,27.90396,-93.59765,FGBNMS,HARD                                              ,Labridae,Bodianus pulchellus,Spotfin Hogfish,I ,7.5,1
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3559,9/28/2006,27.90396,-93.59765,FGBNMS,HARD                                              ,Labridae,Bodianus pulchellus,Spotfin Hogfish,I ,22.5,1
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3559,9/28/2006,27.90396,-93.59765,FGBNMS,HARD                                              ,Labridae,Bodianus rufus,Spanish Hogfish,I,3,4
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3559,9/28/2006,27.90396,-93.59765,FGBNMS,HARD                                              ,Labridae,Bodianus rufus,Spanish Hogfish,I,12.5,2
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3559,9/28/2006,27.90396,-93.59765,FGBNMS,HARD                                              ,Labridae,Bodianus rufus,Spanish Hogfish,I,17.5,4
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3559,9/28/2006,27.90396,-93.59765,FGBNMS,HARD                                              ,Labridae,Halichoeres garnoti,Yellowhead Wrasse,I,3,1
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3559,9/28/2006,27.90396,-93.59765,FGBNMS,HARD                                              ,Labridae,Halichoeres garnoti,Yellowhead Wrasse,I,7.5,2
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3559,9/28/2006,27.90396,-93.59765,FGBNMS,HARD                                              ,Labridae,Halichoeres garnoti,Yellowhead Wrasse,I,12.5,1
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3559,9/28/2006,27.90396,-93.59765,FGBNMS,HARD                                              ,Labridae,Halichoeres radiatus,Puddingwife,I,32.5,1
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3559,9/28/2006,27.90396,-93.59765,FGBNMS,HARD                                              ,Labridae,Scarus taeniopterus,Princess Parrotfish,H,22.5,1
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3559,9/28/2006,27.90396,-93.59765,FGBNMS,HARD                                              ,Labridae,Sparisoma atomarium,Greenblotch Parrotfish,H,3,12
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3559,9/28/2006,27.90396,-93.59765,FGBNMS,HARD                                              ,Labridae,Sparisoma aurofrenatum,Redband Parrotfish,H,3,3
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3559,9/28/2006,27.90396,-93.59765,FGBNMS,HARD                                              ,Labridae,Sparisoma aurofrenatum,Redband Parrotfish,H,12.5,1
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3559,9/28/2006,27.90396,-93.59765,FGBNMS,HARD                                              ,Labridae,Sparisoma aurofrenatum,Redband Parrotfish,H,17.5,2
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3559,9/28/2006,27.90396,-93.59765,FGBNMS,HARD                                              ,Labridae,Sparisoma viride,Stoplight Parrotfish,H,32.5,3
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3559,9/28/2006,27.90396,-93.59765,FGBNMS,HARD                                              ,Labridae,Thalassoma bifasciatum,Bluehead,I,3,110
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3559,9/28/2006,27.90396,-93.59765,FGBNMS,HARD                                              ,Labridae,Thalassoma bifasciatum,Bluehead,I,7.5,10
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3559,9/28/2006,27.90396,-93.59765,FGBNMS,HARD                                              ,Lutjanidae,Lutjanus jocu,Dog Snapper,P,55,1
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3559,9/28/2006,27.90396,-93.59765,FGBNMS,HARD                                              ,Pomacanthidae,Holacanthus tricolor,Rock Beauty,I,3,1
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3559,9/28/2006,27.90396,-93.59765,FGBNMS,HARD                                              ,Pomacanthidae,Holacanthus tricolor,Rock Beauty,I,12.5,1
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3559,9/28/2006,27.90396,-93.59765,FGBNMS,HARD                                              ,Pomacentridae,Chromis cyanea,Blue Chromis,PL,3,1
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3559,9/28/2006,27.90396,-93.59765,FGBNMS,HARD                                              ,Pomacentridae,Chromis cyanea,Blue Chromis,PL,7.5,6
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3559,9/28/2006,27.90396,-93.59765,FGBNMS,HARD                                              ,Pomacentridae,Chromis insolata,Sunshinefish,PL ,3,11
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3559,9/28/2006,27.90396,-93.59765,FGBNMS,HARD                                              ,Pomacentridae,Chromis insolata,Sunshinefish,PL ,7.5,15
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3559,9/28/2006,27.90396,-93.59765,FGBNMS,HARD                                              ,Pomacentridae,Chromis scotti,Purple Reeffish,PL ,3,5
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3559,9/28/2006,27.90396,-93.59765,FGBNMS,HARD                                              ,Pomacentridae,Stegastes partitus,Bicolor Damselfish,H,3,8
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3559,9/28/2006,27.90396,-93.59765,FGBNMS,HARD                                              ,Pomacentridae,Stegastes partitus,Bicolor Damselfish,H,7.5,9
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3559,9/28/2006,27.90396,-93.59765,FGBNMS,HARD                                              ,Pomacentridae,Stegastes planifrons,Threespot Damselfish,I,3,2
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3559,9/28/2006,27.90396,-93.59765,FGBNMS,HARD                                              ,Pomacentridae,Stegastes variabilis,Cocoa Damselfish,H,3,6
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3559,9/28/2006,27.90396,-93.59765,FGBNMS,HARD                                              ,Serranidae,Cephalopholis cruentata,Graysby,P,3,1
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3559,9/28/2006,27.90396,-93.59765,FGBNMS,HARD                                              ,Serranidae,Mycteroperca interstitialis,Yellowmouth Grouper,P,27.5,1
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3559,9/28/2006,27.90396,-93.59765,FGBNMS,HARD                                              ,Serranidae,Mycteroperca interstitialis,Yellowmouth Grouper,P,65,1
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3559,9/28/2006,27.90396,-93.59765,FGBNMS,HARD                                              ,Serranidae,Paranthias furcifer,Atlantic Creolefish,PL,27.5,55
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3559,9/28/2006,27.90396,-93.59765,FGBNMS,HARD                                              ,Serranidae,Serranus tigrinus,Harlequin Bass,I,7.5,1
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3559,9/28/2006,27.90396,-93.59765,FGBNMS,HARD                                              ,Tetraodontidae,Canthigaster rostrata,Sharpnose Puffer,I,3,2
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3559,9/28/2006,27.90396,-93.59765,FGBNMS,HARD                                              ,Tetraodontidae,Canthigaster rostrata,Sharpnose Puffer,I,12.5,1
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3560,9/30/2006,27.91254,-93.59826,FGBNMS,HARD                                              ,Acanthuridae,Acanthurus coeruleus,Blue Tang,H,17.5,1
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3560,9/30/2006,27.91254,-93.59826,FGBNMS,HARD                                              ,Acanthuridae,Acanthurus coeruleus,Blue Tang,H,22.5,2
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3560,9/30/2006,27.91254,-93.59826,FGBNMS,HARD                                              ,Chaetodontidae,Chaetodon sedentarius,Reef Butterflyfish,I,3,1
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3560,9/30/2006,27.91254,-93.59826,FGBNMS,HARD                                              ,Gobiidae,Gnatholepis thompsoni,Goldspot Goby,H,3,3
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3560,9/30/2006,27.91254,-93.59826,FGBNMS,HARD                                              ,Kyphosidae,Kyphosus sectator,Chub (Bermuda/Yellow),H,32.5,9
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3560,9/30/2006,27.91254,-93.59826,FGBNMS,HARD                                              ,Kyphosidae,Kyphosus sectator,Chub (Bermuda/Yellow),H,40,1
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3560,9/30/2006,27.91254,-93.59826,FGBNMS,HARD                                              ,Labridae,Halichoeres garnoti,Yellowhead Wrasse,I,3,1
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3560,9/30/2006,27.91254,-93.59826,FGBNMS,HARD                                              ,Labridae,Halichoeres maculipinna,Clown Wrasse,I,3,1
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3560,9/30/2006,27.91254,-93.59826,FGBNMS,HARD                                              ,Labridae,Halichoeres radiatus,Puddingwife,I,3,1
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3560,9/30/2006,27.91254,-93.59826,FGBNMS,HARD                                              ,Labridae,Halichoeres radiatus,Puddingwife,I,7.5,1
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3560,9/30/2006,27.91254,-93.59826,FGBNMS,HARD                                              ,Labridae,Scarus taeniopterus,Princess Parrotfish,H,7.5,1
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3560,9/30/2006,27.91254,-93.59826,FGBNMS,HARD                                              ,Labridae,Scarus vetula,Queen Parrotfish,H,7.5,1
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3560,9/30/2006,27.91254,-93.59826,FGBNMS,HARD                                              ,Labridae,Sparisoma atomarium,Greenblotch Parrotfish,H,3,29
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3560,9/30/2006,27.91254,-93.59826,FGBNMS,HARD                                              ,Labridae,Sparisoma viride,Stoplight Parrotfish,H,3,2
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3560,9/30/2006,27.91254,-93.59826,FGBNMS,HARD                                              ,Labridae,Sparisoma viride,Stoplight Parrotfish,H,40,3
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3560,9/30/2006,27.91254,-93.59826,FGBNMS,HARD                                              ,Labridae,Sparisoma viride,Stoplight Parrotfish,H,45,1
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3560,9/30/2006,27.91254,-93.59826,FGBNMS,HARD                                              ,Labridae,Thalassoma bifasciatum,Bluehead,I,3,11
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3560,9/30/2006,27.91254,-93.59826,FGBNMS,HARD                                              ,Labridae,Thalassoma bifasciatum,Bluehead,I,7.5,4
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3560,9/30/2006,27.91254,-93.59826,FGBNMS,HARD                                              ,Mullidae,Pseudupeneus maculatus,Spotted Goatfish,I ,12.5,1
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3560,9/30/2006,27.91254,-93.59826,FGBNMS,HARD                                              ,Opistognathidae,Opistognathus aurifrons,Yellowhead Jawfish,PL,7.5,20
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3560,9/30/2006,27.91254,-93.59826,FGBNMS,HARD                                              ,Ostraciidae,Lactophrys triqueter,Smooth Trunkfish,I,12.5,1
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3560,9/30/2006,27.91254,-93.59826,FGBNMS,HARD                                              ,Pomacentridae,Chromis insolata,Sunshinefish,PL ,3,21
Gulf of Mexico,Flower Garden Banks,East Bank,2006,GULF-FGBS-0900-0600,3560,9/30/2006,27.91254,-93.59826,FGBNMS,HARD                                              ,Pomacentridae,Stegastes partitus,Bicolor Damselfish,H,3,20
